element,date,time,block,reading,sample_id,x,sigma_x,y,sigma_y_c,epsilon,sigma_y_eff
Y,2025-02-26,16:06:50,3,160,Carbonatite,81.000000,0.500000,66.000000,1.000000,1.574028,1.864823
Mg,2025-02-26,16:09:24,3,161,Phosphate,6400.000000,51.000000,7948.000000,924.000000,891.789297,1284.158927
Al,2025-02-26,16:09:24,3,161,Phosphate,12000.000000,138.000000,16304.000000,214.000000,478.559805,524.228468
Si,2025-02-26,16:09:24,3,161,Phosphate,61400.000000,316.000000,60964.000000,214.000000,614.596196,650.787587
Fe,2025-02-26,16:09:24,3,161,Phosphate,39200.000000,199.000000,41253.000000,128.000000,179.887556,220.779376
Zn,2025-02-26,16:09:24,3,161,Phosphate,26.400000,3.660000,32.000000,3.000000,2.544377,3.933682
As,2025-02-26,16:09:24,3,161,Phosphate,24.800000,0.920000,24.000000,2.000000,1.615893,2.571208
Sr,2025-02-26,16:09:24,3,161,Phosphate,703.600000,3.110000,699.000000,3.000000,3.963065,4.970501
Zr,2025-02-26,16:09:24,3,161,Phosphate,58.710000,10.770000,62.000000,2.000000,5.468269,5.822539
Ba,2025-02-26,16:09:24,3,161,Phosphate,219.700000,1.720000,270.000000,16.000000,19.053760,24.880630
Pb,2025-02-26,16:09:24,3,161,Phosphate,76.700000,4.080000,76.000000,2.000000,4.425121,4.856099
Mg,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,26800.000000,1206.000000,27665.000000,795.000000,759.354348,1099.383475
Al,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,34500.000000,1111.000000,38354.000000,245.000000,1108.266918,1135.024476
Si,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,131800.000000,982.000000,134232.000000,305.000000,858.155672,910.744836
P,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,1400.000000,288.000000,1219.000000,20.000000,87.424656,89.683167
S,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,15300.000000,1100.000000,13610.000000,45.000000,140.893190,147.905007
K,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,13800.000000,8301.000000,12872.000000,38.000000,88.450171,96.267506
Ca,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,59900.000000,1215.000000,59493.000000,126.000000,414.003852,432.753035
Ti,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,1500.000000,150.000000,1444.000000,54.000000,53.785036,76.215682
V,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,130.000000,6.000000,109.000000,15.000000,13.251512,20.015058
Mn,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,267.000000,34.000000,224.000000,8.000000,8.262908,11.501115
Fe,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,21200.000000,1088.000000,18555.000000,53.000000,163.645205,172.013817
Co,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,12.000000,1.500000,84.000000,10.000000,8.808504,13.326280
Ni,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,29.000000,0.010000,24.000000,2.000000,1.790287,2.684237
Cu,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,66.000000,9.000000,72.000000,2.000000,2.268090,3.023943
Zn,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,74.000000,9.000000,87.000000,2.000000,2.128861,2.920968
As,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,67.000000,5.000000,54.000000,1.000000,1.162998,1.533807
Sr,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,420.000000,30.000000,355.000000,1.000000,2.515338,2.706829
Y,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,13.000000,0.010000,8.000000,1.000000,0.713874,1.228664
Zr,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,53.000000,0.010000,42.000000,1.000000,1.097783,1.484967
Mo,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,35.000000,0.900000,28.000000,1.000000,1.065183,1.461032
Ba,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,290.000000,40.000000,261.000000,10.000000,16.503011,19.296356
La,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,20.000000,1.800000,76.000000,18.000000,9.622889,20.410781
Pb,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,38.000000,4.000000,38.000000,1.000000,0.972375,1.394816
Th,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,5.000000,0.210000,8.000000,2.000000,1.519712,2.511877
U,2025-02-27,09:27:01,1,3,Carbonate-Rich Shale,5.000000,0.400000,8.000000,1.000000,0.875229,1.328919
Mg,2025-02-27,09:29:39,1,4,Marine Shale,15683.000000,60.000000,15333.000000,741.000000,623.651959,968.515754
Al,2025-02-27,09:29:39,1,4,Marine Shale,111132.000000,212.000000,120784.000000,401.000000,1129.053095,1198.149361
Si,2025-02-27,09:29:39,1,4,Marine Shale,222717.000000,400.000000,231639.000000,451.000000,1745.922558,1803.232258
P,2025-02-27,09:29:39,1,4,Marine Shale,1615.000000,9.000000,1197.000000,22.000000,114.115102,116.216421
S,2025-02-27,09:29:39,1,4,Marine Shale,7150.000000,80.000000,4299.000000,30.000000,76.901515,82.546005
K,2025-02-27,09:29:39,1,4,Marine Shale,28640.000000,83.000000,26890.000000,70.000000,137.230155,154.052314
Ca,2025-02-27,09:29:39,1,4,Marine Shale,21084.000000,71.000000,19057.000000,51.000000,390.642432,393.957497
Ti,2025-02-27,09:29:39,1,4,Marine Shale,5126.000000,18.000000,4947.000000,78.000000,77.225008,109.762024
V,2025-02-27,09:29:39,1,4,Marine Shale,220.000000,1.400000,200.000000,21.000000,20.216140,29.149482
Cr,2025-02-27,09:29:39,1,4,Marine Shale,109.000000,1.000000,99.000000,10.000000,6.996565,12.204586
Mn,2025-02-27,09:29:39,1,4,Marine Shale,1162.000000,8.000000,1001.000000,14.000000,16.289252,21.478821
Fe,2025-02-27,09:29:39,1,4,Marine Shale,67912.000000,155.000000,66950.000000,152.000000,189.790472,243.155142
Co,2025-02-27,09:29:39,1,4,Marine Shale,22.700000,0.100000,143.000000,20.000000,22.311461,29.963332
Ni,2025-02-27,09:29:39,1,4,Marine Shale,82.800000,0.800000,97.000000,3.000000,2.967776,4.219916
Cu,2025-02-27,09:29:39,1,4,Marine Shale,31.000000,0.600000,49.000000,3.000000,7.755478,8.315494
Zn,2025-02-27,09:29:39,1,4,Marine Shale,186.000000,1.700000,221.000000,3.000000,7.688236,8.252816
As,2025-02-27,09:29:39,1,4,Marine Shale,25.700000,0.700000,28.000000,1.000000,1.080123,1.471960
Rb,2025-02-27,09:29:39,1,4,Marine Shale,147.000000,1.000000,148.000000,1.000000,1.226053,1.582152
Sr,2025-02-27,09:29:39,1,4,Marine Shale,178.000000,1.400000,176.000000,1.000000,1.403978,1.723704
Y,2025-02-27,09:29:39,1,4,Marine Shale,36.500000,0.100000,39.000000,1.000000,1.026882,1.433348
Zr,2025-02-27,09:29:39,1,4,Marine Shale,134.000000,1.600000,133.000000,1.000000,1.372813,1.698416
Nb,2025-02-27,09:29:39,1,4,Marine Shale,15.300000,0.100000,9.000000,1.000000,0.959099,1.385594
Mo,2025-02-27,09:29:39,1,4,Marine Shale,2.400000,0.100000,4.000000,1.000000,0.577350,1.154701
Ba,2025-02-27,09:29:39,1,4,Marine Shale,788.000000,7.700000,885.000000,15.000000,16.586699,22.363331
La,2025-02-27,09:29:39,1,4,Marine Shale,52.500000,0.600000,105.000000,25.000000,25.458463,35.680994
Ce,2025-02-27,09:29:39,1,4,Marine Shale,108.000000,0.900000,149.000000,30.000000,29.781900,42.272468
Pb,2025-02-27,09:29:39,1,4,Marine Shale,35.000000,0.100000,37.000000,1.000000,1.263390,1.611258
Th,2025-02-27,09:29:39,1,4,Marine Shale,15.800000,0.100000,32.000000,2.000000,2.363586,3.096214
U,2025-02-27,09:29:39,1,4,Marine Shale,5.760000,0.100000,8.000000,1.000000,1.204958,1.565862
Mg,2025-02-27,09:32:20,1,5,Black Shale,12300.000000,77.000000,12985.000000,732.000000,729.051940,1033.121837
Al,2025-02-27,09:32:20,1,5,Black Shale,80300.000000,409.000000,95972.000000,359.000000,792.651452,870.159367
Si,2025-02-27,09:32:20,1,5,Black Shale,235700.000000,1217.000000,254387.000000,464.000000,1639.512953,1703.906900
P,2025-02-27,09:32:20,1,5,Black Shale,400.000000,0.100000,245.000000,18.000000,113.064694,114.488537
S,2025-02-27,09:32:20,1,5,Black Shale,58400.000000,470.000000,43865.000000,109.000000,267.404182,288.766336
K,2025-02-27,09:32:20,1,5,Black Shale,31800.000000,281.000000,32538.000000,80.000000,168.353556,186.394527
Ca,2025-02-27,09:32:20,1,5,Black Shale,11800.000000,201.000000,12090.000000,37.000000,341.827967,343.824605
Ti,2025-02-27,09:32:20,1,5,Black Shale,3600.000000,47.000000,3626.000000,74.000000,74.284817,104.853393
V,2025-02-27,09:32:20,1,5,Black Shale,219.120000,3.640000,196.000000,20.000000,16.742009,26.082463
Cr,2025-02-27,09:32:20,1,5,Black Shale,98.350000,3.600000,77.000000,10.000000,9.209109,13.594399
Mn,2025-02-27,09:32:20,1,5,Black Shale,200.000000,0.000000,183.000000,10.000000,11.095593,14.936940
Fe,2025-02-27,09:32:20,1,5,Black Shale,66400.000000,544.000000,65625.000000,146.000000,155.394092,213.221302
Co,2025-02-27,09:32:20,1,5,Black Shale,40.650000,0.700000,295.000000,21.000000,20.211066,29.145963
Ni,2025-02-27,09:32:20,1,5,Black Shale,192.940000,16.490000,203.000000,4.000000,4.359267,5.916351
Cu,2025-02-27,09:32:20,1,5,Black Shale,176.650000,3.240000,191.000000,4.000000,3.915371,5.597332
Zn,2025-02-27,09:32:20,1,5,Black Shale,62.520000,7.800000,59.000000,2.000000,2.669870,3.335896
As,2025-02-27,09:32:20,1,5,Black Shale,46.240000,0.830000,46.000000,1.000000,1.391365,1.713446
Rb,2025-02-27,09:32:20,1,5,Black Shale,140.000000,5.000000,160.000000,1.000000,1.278521,1.623150
Sr,2025-02-27,09:32:20,1,5,Black Shale,86.740000,1.710000,82.000000,1.000000,0.931982,1.366964
Y,2025-02-27,09:32:20,1,5,Black Shale,26.700000,0.600000,28.000000,1.000000,0.828189,1.298421
Zr,2025-02-27,09:32:20,1,5,Black Shale,144.240000,2.310000,136.000000,1.000000,1.391365,1.713446
Nb,2025-02-27,09:32:20,1,5,Black Shale,8.810000,0.100000,4.000000,1.000000,0.989949,1.407125
Mo,2025-02-27,09:32:20,1,5,Black Shale,159.410000,4.290000,147.000000,1.000000,1.983910,2.221688
Ba,2025-02-27,09:32:20,1,5,Black Shale,454.110000,29.590000,485.000000,14.000000,15.613111,20.970675
La,2025-02-27,09:32:20,1,5,Black Shale,33.530000,0.510000,72.000000,23.000000,14.737330,27.316458
Ce,2025-02-27,09:32:20,1,5,Black Shale,64.580000,1.120000,157.000000,28.000000,24.725777,37.354572
Pb,2025-02-27,09:32:20,1,5,Black Shale,52.180000,0.880000,54.000000,1.000000,1.368136,1.694637
Th,2025-02-27,09:32:20,1,5,Black Shale,9.310000,0.100000,25.000000,2.000000,2.322548,3.065001
U,2025-02-27,09:32:20,1,5,Black Shale,25.400000,0.510000,29.000000,1.000000,1.164375,1.534852
Al,2025-02-27,09:34:58,1,6,Carbonatite,1958.000000,212.000000,3197.000000,155.000000,393.265928,422.709226
Si,2025-02-27,09:34:58,1,6,Carbonatite,16222.000000,514.000000,12848.000000,96.000000,360.179042,372.753192
Fe,2025-02-27,09:34:58,1,6,Carbonatite,20562.000000,700.000000,14727.000000,62.000000,249.653985,257.237463
Ni,2025-02-27,09:34:58,1,6,Carbonatite,13.000000,1.000000,17.000000,3.000000,2.464491,3.882489
Y,2025-02-27,09:34:58,1,6,Carbonatite,81.000000,0.500000,67.000000,1.000000,1.574028,1.864823
Mg,2025-02-27,09:37:41,1,7,Phosphate,6400.000000,51.000000,6775.000000,998.000000,891.789297,1338.391628
Al,2025-02-27,09:37:41,1,7,Phosphate,12000.000000,138.000000,16158.000000,222.000000,478.559805,527.544772
Si,2025-02-27,09:37:41,1,7,Phosphate,61400.000000,316.000000,61222.000000,220.000000,614.596196,652.785174
Fe,2025-02-27,09:37:41,1,7,Phosphate,39200.000000,199.000000,41077.000000,130.000000,179.887556,221.944887
Zn,2025-02-27,09:37:41,1,7,Phosphate,26.400000,3.660000,27.000000,3.000000,2.544377,3.933682
As,2025-02-27,09:37:41,1,7,Phosphate,24.800000,0.920000,23.000000,2.000000,1.615893,2.571208
Sr,2025-02-27,09:37:41,1,7,Phosphate,703.600000,3.110000,700.000000,3.000000,3.963065,4.970501
Zr,2025-02-27,09:37:41,1,7,Phosphate,58.710000,10.770000,55.000000,2.000000,5.468269,5.822539
Ba,2025-02-27,09:37:41,1,7,Phosphate,219.700000,1.720000,269.000000,16.000000,19.053760,24.880630
Pb,2025-02-27,09:37:41,1,7,Phosphate,76.700000,4.080000,74.000000,2.000000,4.425121,4.856099
Mg,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,26800.000000,1206.000000,26524.000000,736.000000,759.354348,1057.504149
Al,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,34500.000000,1111.000000,37342.000000,234.000000,1108.266918,1132.701002
Si,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,131800.000000,982.000000,131931.000000,293.000000,858.155672,906.796646
P,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,1400.000000,288.000000,1313.000000,20.000000,87.424656,89.683167
S,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,15300.000000,1100.000000,13441.000000,43.000000,140.893190,147.308829
K,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,13800.000000,8301.000000,12611.000000,37.000000,88.450171,95.877175
Ca,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,59900.000000,1215.000000,60339.000000,124.000000,414.003852,432.174952
Ti,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,1500.000000,150.000000,1466.000000,54.000000,53.785036,76.215682
V,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,130.000000,6.000000,110.000000,15.000000,13.251512,20.015058
Mn,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,267.000000,34.000000,224.000000,8.000000,8.262908,11.501115
Fe,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,21200.000000,1088.000000,18857.000000,53.000000,163.645205,172.013817
Co,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,12.000000,1.500000,66.000000,10.000000,8.808504,13.326280
Ni,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,29.000000,0.010000,27.000000,2.000000,1.790287,2.684237
Cu,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,66.000000,9.000000,70.000000,2.000000,2.268090,3.023943
Zn,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,74.000000,9.000000,89.000000,2.000000,2.128861,2.920968
As,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,67.000000,5.000000,53.000000,1.000000,1.162998,1.533807
Sr,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,420.000000,30.000000,357.000000,1.000000,2.515338,2.706829
Y,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,13.000000,0.010000,9.000000,1.000000,0.713874,1.228664
Zr,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,53.000000,0.010000,43.000000,1.000000,1.097783,1.484967
Mo,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,35.000000,0.900000,28.000000,1.000000,1.065183,1.461032
Ba,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,290.000000,40.000000,229.000000,10.000000,16.503011,19.296356
Pb,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,38.000000,4.000000,40.000000,1.000000,0.972375,1.394816
Th,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,5.000000,0.210000,10.000000,2.000000,1.519712,2.511877
U,2025-02-27,13:32:44,2,32,Carbonate-Rich Shale,5.000000,0.400000,6.000000,1.000000,0.875229,1.328919
Mg,2025-02-27,13:35:15,2,33,Marine Shale,15683.000000,60.000000,15724.000000,696.000000,623.651959,934.536123
Al,2025-02-27,13:35:15,2,33,Marine Shale,111132.000000,212.000000,117963.000000,387.000000,1129.053095,1193.536715
Si,2025-02-27,13:35:15,2,33,Marine Shale,222717.000000,400.000000,227608.000000,437.000000,1745.922558,1799.781814
P,2025-02-27,13:35:15,2,33,Marine Shale,1615.000000,9.000000,1260.000000,22.000000,114.115102,116.216421
S,2025-02-27,13:35:15,2,33,Marine Shale,7150.000000,80.000000,4131.000000,29.000000,76.901515,82.187852
K,2025-02-27,13:35:15,2,33,Marine Shale,28640.000000,83.000000,26587.000000,68.000000,137.230155,153.153894
Ca,2025-02-27,13:35:15,2,33,Marine Shale,21084.000000,71.000000,20824.000000,53.000000,390.642432,394.221397
Ti,2025-02-27,13:35:15,2,33,Marine Shale,5126.000000,18.000000,5173.000000,78.000000,77.225008,109.762024
V,2025-02-27,13:35:15,2,33,Marine Shale,220.000000,1.400000,191.000000,21.000000,20.216140,29.149482
Cr,2025-02-27,13:35:15,2,33,Marine Shale,109.000000,1.000000,117.000000,11.000000,6.996565,13.036561
Mn,2025-02-27,13:35:15,2,33,Marine Shale,1162.000000,8.000000,1036.000000,14.000000,16.289252,21.478821
Fe,2025-02-27,13:35:15,2,33,Marine Shale,67912.000000,155.000000,67142.000000,151.000000,189.790472,242.531283
Co,2025-02-27,13:35:15,2,33,Marine Shale,22.700000,0.100000,129.000000,20.000000,22.311461,29.963332
Ni,2025-02-27,13:35:15,2,33,Marine Shale,82.800000,0.800000,99.000000,3.000000,2.967776,4.219916
Cu,2025-02-27,13:35:15,2,33,Marine Shale,31.000000,0.600000,49.000000,3.000000,7.755478,8.315494
Zn,2025-02-27,13:35:15,2,33,Marine Shale,186.000000,1.700000,227.000000,3.000000,7.688236,8.252816
As,2025-02-27,13:35:15,2,33,Marine Shale,25.700000,0.700000,27.000000,1.000000,1.080123,1.471960
Rb,2025-02-27,13:35:15,2,33,Marine Shale,147.000000,1.000000,148.000000,1.000000,1.226053,1.582152
Sr,2025-02-27,13:35:15,2,33,Marine Shale,178.000000,1.400000,183.000000,1.000000,1.403978,1.723704
Y,2025-02-27,13:35:15,2,33,Marine Shale,36.500000,0.100000,36.000000,1.000000,1.026882,1.433348
Zr,2025-02-27,13:35:15,2,33,Marine Shale,134.000000,1.600000,135.000000,1.000000,1.372813,1.698416
Nb,2025-02-27,13:35:15,2,33,Marine Shale,15.300000,0.100000,9.000000,1.000000,0.959099,1.385594
Mo,2025-02-27,13:35:15,2,33,Marine Shale,2.400000,0.100000,5.000000,1.000000,0.577350,1.154701
Ba,2025-02-27,13:35:15,2,33,Marine Shale,788.000000,7.700000,863.000000,15.000000,16.586699,22.363331
La,2025-02-27,13:35:15,2,33,Marine Shale,52.500000,0.600000,140.000000,24.000000,25.458463,34.987617
Ce,2025-02-27,13:35:15,2,33,Marine Shale,108.000000,0.900000,200.000000,29.000000,29.781900,41.568757
Pb,2025-02-27,13:35:15,2,33,Marine Shale,35.000000,0.100000,36.000000,1.000000,1.263390,1.611258
Th,2025-02-27,13:35:15,2,33,Marine Shale,15.800000,0.100000,32.000000,2.000000,2.363586,3.096214
U,2025-02-27,13:35:15,2,33,Marine Shale,5.760000,0.100000,8.000000,1.000000,1.204958,1.565862
Mg,2025-02-27,13:37:54,2,34,Black Shale,12300.000000,77.000000,12318.000000,676.000000,729.051940,994.229717
Al,2025-02-27,13:37:54,2,34,Black Shale,80300.000000,409.000000,94815.000000,346.000000,792.651452,864.877057
Si,2025-02-27,13:37:54,2,34,Black Shale,235700.000000,1217.000000,251187.000000,447.000000,1639.512953,1699.356268
P,2025-02-27,13:37:54,2,34,Black Shale,400.000000,0.100000,351.000000,18.000000,113.064694,114.488537
S,2025-02-27,13:37:54,2,34,Black Shale,58400.000000,470.000000,43472.000000,105.000000,267.404182,287.280345
K,2025-02-27,13:37:54,2,34,Black Shale,31800.000000,281.000000,32072.000000,78.000000,168.353556,185.544927
Ca,2025-02-27,13:37:54,2,34,Black Shale,11800.000000,201.000000,12951.000000,38.000000,341.827967,343.933655
Ti,2025-02-27,13:37:54,2,34,Black Shale,3600.000000,47.000000,3778.000000,74.000000,74.284817,104.853393
V,2025-02-27,13:37:54,2,34,Black Shale,219.120000,3.640000,202.000000,20.000000,16.742009,26.082463
Cr,2025-02-27,13:37:54,2,34,Black Shale,98.350000,3.600000,86.000000,10.000000,9.209109,13.594399
Mn,2025-02-27,13:37:54,2,34,Black Shale,200.000000,0.000000,174.000000,10.000000,11.095593,14.936940
Fe,2025-02-27,13:37:54,2,34,Black Shale,66400.000000,544.000000,65130.000000,142.000000,155.394092,210.502550
Co,2025-02-27,13:37:54,2,34,Black Shale,40.650000,0.700000,271.000000,20.000000,20.211066,28.433909
Ni,2025-02-27,13:37:54,2,34,Black Shale,192.940000,16.490000,206.000000,4.000000,4.359267,5.916351
Cu,2025-02-27,13:37:54,2,34,Black Shale,176.650000,3.240000,180.000000,4.000000,3.915371,5.597332
Zn,2025-02-27,13:37:54,2,34,Black Shale,62.520000,7.800000,56.000000,2.000000,2.669870,3.335896
As,2025-02-27,13:37:54,2,34,Black Shale,46.240000,0.830000,47.000000,1.000000,1.391365,1.713446
Rb,2025-02-27,13:37:54,2,34,Black Shale,140.000000,5.000000,157.000000,1.000000,1.278521,1.623150
Sr,2025-02-27,13:37:54,2,34,Black Shale,86.740000,1.710000,83.000000,1.000000,0.931982,1.366964
Y,2025-02-27,13:37:54,2,34,Black Shale,26.700000,0.600000,28.000000,1.000000,0.828189,1.298421
Zr,2025-02-27,13:37:54,2,34,Black Shale,144.240000,2.310000,137.000000,1.000000,1.391365,1.713446
Nb,2025-02-27,13:37:54,2,34,Black Shale,8.810000,0.100000,4.000000,1.000000,0.989949,1.407125
Mo,2025-02-27,13:37:54,2,34,Black Shale,159.410000,4.290000,146.000000,1.000000,1.983910,2.221688
Ba,2025-02-27,13:37:54,2,34,Black Shale,454.110000,29.590000,451.000000,13.000000,15.613111,20.316723
Ce,2025-02-27,13:37:54,2,34,Black Shale,64.580000,1.120000,84.000000,27.000000,24.725777,36.610982
Pb,2025-02-27,13:37:54,2,34,Black Shale,52.180000,0.880000,54.000000,1.000000,1.368136,1.694637
Th,2025-02-27,13:37:54,2,34,Black Shale,9.310000,0.100000,20.000000,2.000000,2.322548,3.065001
U,2025-02-27,13:37:54,2,34,Black Shale,25.400000,0.510000,27.000000,1.000000,1.164375,1.534852
Al,2025-02-27,13:40:34,2,35,Carbonatite,1958.000000,212.000000,2948.000000,147.000000,393.265928,419.841744
Si,2025-02-27,13:40:34,2,35,Carbonatite,16222.000000,514.000000,12663.000000,94.000000,360.179042,372.243123
Fe,2025-02-27,13:40:34,2,35,Carbonatite,20562.000000,700.000000,15082.000000,62.000000,249.653985,257.237463
Ni,2025-02-27,13:40:34,2,35,Carbonatite,13.000000,1.000000,15.000000,3.000000,2.464491,3.882489
Y,2025-02-27,13:40:34,2,35,Carbonatite,81.000000,0.500000,68.000000,1.000000,1.574028,1.864823
Mg,2025-02-27,13:43:16,2,36,Phosphate,6400.000000,51.000000,5850.000000,927.000000,891.789297,1286.319226
Al,2025-02-27,13:43:16,2,36,Phosphate,12000.000000,138.000000,16089.000000,215.000000,478.559805,524.637481
Si,2025-02-27,13:43:16,2,36,Phosphate,61400.000000,316.000000,60542.000000,214.000000,614.596196,650.787587
Fe,2025-02-27,13:43:16,2,36,Phosphate,39200.000000,199.000000,41543.000000,129.000000,179.887556,221.360639
Zn,2025-02-27,13:43:16,2,36,Phosphate,26.400000,3.660000,31.000000,3.000000,2.544377,3.933682
As,2025-02-27,13:43:16,2,36,Phosphate,24.800000,0.920000,23.000000,2.000000,1.615893,2.571208
Sr,2025-02-27,13:43:16,2,36,Phosphate,703.600000,3.110000,701.000000,3.000000,3.963065,4.970501
Zr,2025-02-27,13:43:16,2,36,Phosphate,58.710000,10.770000,59.000000,2.000000,5.468269,5.822539
Ba,2025-02-27,13:43:16,2,36,Phosphate,219.700000,1.720000,243.000000,16.000000,19.053760,24.880630
Pb,2025-02-27,13:43:16,2,36,Phosphate,76.700000,4.080000,75.000000,2.000000,4.425121,4.856099
Mg,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,26800.000000,1206.000000,26708.000000,715.000000,759.354348,1042.997615
Al,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,34500.000000,1111.000000,37999.000000,232.000000,1108.266918,1132.289522
Si,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,131800.000000,982.000000,134266.000000,293.000000,858.155672,906.796646
P,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,1400.000000,288.000000,1291.000000,19.000000,87.424656,89.465471
S,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,15300.000000,1100.000000,13641.000000,44.000000,140.893190,147.603831
K,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,13800.000000,8301.000000,12936.000000,37.000000,88.450171,95.877175
Ca,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,59900.000000,1215.000000,59478.000000,121.000000,414.003852,431.323764
Ti,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,1500.000000,150.000000,1493.000000,53.000000,53.785036,75.510464
V,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,130.000000,6.000000,105.000000,15.000000,13.251512,20.015058
Mn,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,267.000000,34.000000,236.000000,8.000000,8.262908,11.501115
Fe,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,21200.000000,1088.000000,18990.000000,53.000000,163.645205,172.013817
Co,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,12.000000,1.500000,56.000000,10.000000,8.808504,13.326280
Ni,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,29.000000,0.010000,27.000000,2.000000,1.790287,2.684237
Cu,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,66.000000,9.000000,70.000000,2.000000,2.268090,3.023943
Zn,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,74.000000,9.000000,84.000000,2.000000,2.128861,2.920968
As,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,67.000000,5.000000,55.000000,1.000000,1.162998,1.533807
Sr,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,420.000000,30.000000,360.000000,1.000000,2.515338,2.706829
Y,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,13.000000,0.010000,8.000000,1.000000,0.713874,1.228664
Zr,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,53.000000,0.010000,41.000000,1.000000,1.097783,1.484967
Mo,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,35.000000,0.900000,28.000000,1.000000,1.065183,1.461032
Ba,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,290.000000,40.000000,227.000000,10.000000,16.503011,19.296356
Pb,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,38.000000,4.000000,39.000000,1.000000,0.972375,1.394816
Th,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,5.000000,0.210000,9.000000,2.000000,1.519712,2.511877
U,2025-02-27,15:36:01,3,85,Carbonate-Rich Shale,5.000000,0.400000,9.000000,1.000000,0.875229,1.328919
Mg,2025-02-27,15:38:57,3,86,Marine Shale,15683.000000,60.000000,15561.000000,672.000000,623.651959,916.801923
Al,2025-02-27,15:38:57,3,86,Marine Shale,111132.000000,212.000000,119720.000000,384.000000,1129.053095,1192.567353
Si,2025-02-27,15:38:57,3,86,Marine Shale,222717.000000,400.000000,230193.000000,435.000000,1745.922558,1799.297245
P,2025-02-27,15:38:57,3,86,Marine Shale,1615.000000,9.000000,1230.000000,21.000000,114.115102,116.031273
