element,date,time,block,reading,sample_id,x,sigma_x,y,sigma_y_c,epsilon,sigma_y_eff,rules,reason
La,2025-02-28,09:55:57,1,6,Carbonatite,750.000000,10.000000,1261.000000,33.000000,32.628444,46.407062,3,750 ppm > 4x max shale (52.5 ppm)
Ce,2025-02-28,09:55:57,1,6,Carbonatite,1700.000000,100.000000,2309.000000,42.000000,53.742859,68.207733,3,1700 ppm > 4x max shale (108 ppm)
Pr,2025-02-28,09:55:57,1,6,Carbonatite,150.000000,6.000000,206.000000,51.000000,40.640099,65.212097,3,150 ppm > 4x max shale (12.6 ppm)
Nd,2025-02-28,09:55:57,1,6,Carbonatite,480.000000,15.000000,592.000000,75.000000,92.046741,118.733325,3,480 ppm > 4x max shale (49.2 ppm)
Pb,2025-02-28,09:55:57,1,6,Carbonatite,0.000000,0.010000,7.000000,1.000000,1.242929,1.595265,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Bi,2025-02-28,09:55:57,1,6,Carbonatite,0.000000,0.010000,159.000000,17.000000,15.890652,23.270428,1,certified value 0 <= 1x uncertainty 0.01 (~0)
P,2025-02-28,09:58:42,1,7,Phosphate,113500.000000,22979.000000,89363.000000,245.000000,559.462522,610.756346,3,113500 ppm > 4x max shale (1615 ppm)
Ca,2025-02-28,09:58:42,1,7,Phosphate,282600.000000,839.000000,288885.000000,561.000000,1215.927377,1339.104322,3,282600 ppm > 4x max shale (59900 ppm)
Ti,2025-02-28,09:58:42,1,7,Phosphate,900.000000,34.000000,570.000000,93.000000,73.212847,118.360132,4,manual: knock-on interference / matrix absorption
Cr,2025-02-28,09:58:42,1,7,Phosphate,49.200000,5.200000,432.000000,18.000000,19.357406,26.433107,4,manual: knock-on interference / matrix absorption
Mn,2025-02-28,09:58:42,1,7,Phosphate,8400.000000,40.000000,8665.000000,50.000000,128.816889,138.180284,3,8400 ppm > 4x max shale (1162 ppm)
Ni,2025-02-28,09:58:42,1,7,Phosphate,32.000000,4.170000,81.000000,4.000000,3.285938,5.176619,4,manual: knock-on interference / matrix absorption
Cu,2025-02-28,09:58:42,1,7,Phosphate,23.000000,5.020000,11.000000,3.000000,5.680503,6.424026,4,manual: knock-on interference / matrix absorption
Y,2025-02-28,09:58:42,1,7,Phosphate,631.000000,3.900000,668.000000,3.000000,2.956659,4.212105,3,631 ppm > 4x max shale (36.5 ppm)
Cd,2025-02-28,09:58:42,1,7,Phosphate,0.000000,0.010000,23.000000,5.000000,5.275421,7.268429,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-02-28,09:58:42,1,7,Phosphate,0.000000,0.010000,22.000000,6.000000,4.690416,7.615773,1,certified value 0 <= 1x uncertainty 0.01 (~0)
La,2025-02-28,09:58:42,1,7,Phosphate,495.800000,4.890000,707.000000,31.000000,32.195583,44.694021,3,495.8 ppm > 4x max shale (52.5 ppm)
Ce,2025-02-28,09:58:42,1,7,Phosphate,928.800000,10.190000,1278.000000,38.000000,40.544980,55.568835,3,928.8 ppm > 4x max shale (108 ppm)
Pr,2025-02-28,09:58:42,1,7,Phosphate,96.700000,1.180000,202.000000,50.000000,28.308252,57.457438,3,96.7 ppm > 4x max shale (12.6 ppm)
Nd,2025-02-28,09:58:42,1,7,Phosphate,351.000000,9.940000,621.000000,74.000000,83.283259,111.409610,3,351 ppm > 4x max shale (49.2 ppm)
W,2025-02-28,09:58:42,1,7,Phosphate,0.000000,0.010000,17.000000,3.000000,2.608959,3.975760,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-02-28,09:58:42,1,7,Phosphate,0.000000,0.010000,9.000000,2.000000,1.777601,2.675792,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Th,2025-02-28,09:58:42,1,7,Phosphate,10.700000,0.670000,35.000000,3.000000,3.037349,4.269132,4,manual: knock-on interference / matrix absorption
U,2025-02-28,09:58:42,1,7,Phosphate,30.500000,0.710000,29.000000,2.000000,1.426866,2.456817,4,manual: knock-on interference / matrix absorption
Rb,2025-02-28,11:57:06,2,63,Carbonate-Rich Shale,0.000000,0.010000,76.000000,1.000000,0.847319,1.310705,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Nb,2025-02-28,11:57:06,2,63,Carbonate-Rich Shale,0.000000,0.010000,2.000000,1.000000,0.550482,1.141504,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-02-28,11:59:53,2,64,Marine Shale,3.300000,0.100000,25.000000,5.000000,4.072002,6.448348,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
W,2025-02-28,11:59:53,2,64,Marine Shale,1.600000,0.100000,9.000000,3.000000,0.000000,3.000000,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-02-28,11:59:53,2,64,Marine Shale,0.000000,0.010000,8.000000,1.000000,1.292495,1.634179,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Se,2025-02-28,12:02:28,2,65,Black Shale,6.310000,0.870000,3.000000,1.000000,0.509525,1.122326,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-02-28,12:02:28,2,65,Black Shale,0.000000,0.010000,9.000000,1.000000,1.142141,1.518054,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Mg,2025-02-28,12:05:07,2,66,Carbonatite,7540.000000,181.000000,2750.000000,818.000000,715.655280,1086.870038,4,manual: knock-on interference / matrix absorption
P,2025-02-28,12:05:07,2,66,Carbonatite,0.000000,0.010000,4831.000000,35.000000,88.475841,95.147120,1,certified value 0 <= 1x uncertainty 0.01 (~0)
K,2025-02-28,12:05:07,2,66,Carbonatite,1328.000000,166.000000,191.000000,14.000000,63.400690,64.928017,4,manual: knock-on interference / matrix absorption
Ca,2025-02-28,12:05:07,2,66,Carbonatite,345200.000000,2716.000000,351216.000000,638.000000,2302.419916,2389.180083,3,345200 ppm > 4x max shale (59900 ppm)
Ti,2025-02-28,12:05:07,2,66,Carbonatite,1500.000000,12.000000,288.000000,87.000000,63.055342,107.447551,4,manual: knock-on interference / matrix absorption
V,2025-02-28,12:05:07,2,66,Carbonatite,110.000000,6.000000,90.000000,26.000000,6.930208,26.907764,4,manual: knock-on interference / matrix absorption
Cr,2025-02-28,12:05:07,2,66,Carbonatite,5.000000,0.010000,500.000000,17.000000,17.829589,24.635223,4,manual: knock-on interference / matrix absorption
Mn,2025-02-28,12:05:07,2,66,Carbonatite,3330.000000,3330.000000,2387.000000,26.000000,34.453657,43.163115,1,certified value 3330 <= 1x uncertainty 3330 (~0)
Cu,2025-02-28,12:05:07,2,66,Carbonatite,5.000000,0.010000,11.000000,3.000000,2.212088,3.727376,4,manual: knock-on interference / matrix absorption
Zn,2025-02-28,12:05:07,2,66,Carbonatite,87.000000,1.500000,66.000000,2.000000,3.324829,3.880011,4,manual: knock-on interference / matrix absorption
Rb,2025-02-28,12:05:07,2,66,Carbonatite,0.000000,0.010000,14.000000,1.000000,1.245505,1.597273,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sr,2025-02-28,12:05:07,2,66,Carbonatite,12000.000000,50.000000,9304.000000,28.000000,44.512927,52.587077,3,12000 ppm > 4x max shale (420 ppm)
Zr,2025-02-28,12:05:07,2,66,Carbonatite,65.000000,3.000000,92.000000,3.000000,3.367929,4.510316,4,manual: knock-on interference / matrix absorption
Nb,2025-02-28,12:05:07,2,66,Carbonatite,3900.000000,60.000000,2819.000000,9.000000,41.137862,42.110850,3,3900 ppm > 4x max shale (15.3 ppm)
Mo,2025-02-28,12:05:07,2,66,Carbonatite,0.000000,0.010000,14.000000,1.000000,1.844952,2.098534,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Ba,2025-02-28,12:05:07,2,66,Carbonatite,1000.000000,50.000000,1186.000000,19.000000,24.373365,30.904060,4,manual: knock-on interference / matrix absorption
La,2025-02-28,12:05:07,2,66,Carbonatite,750.000000,10.000000,1195.000000,33.000000,32.628444,46.407062,3,750 ppm > 4x max shale (52.5 ppm)
Ce,2025-02-28,12:05:07,2,66,Carbonatite,1700.000000,100.000000,2329.000000,42.000000,53.742859,68.207733,3,1700 ppm > 4x max shale (108 ppm)
Nd,2025-02-28,12:05:07,2,66,Carbonatite,480.000000,15.000000,621.000000,75.000000,92.046741,118.733325,3,480 ppm > 4x max shale (49.2 ppm)
Pb,2025-02-28,12:05:07,2,66,Carbonatite,0.000000,0.010000,11.000000,1.000000,1.242929,1.595265,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Bi,2025-02-28,12:05:07,2,66,Carbonatite,0.000000,0.010000,114.000000,17.000000,15.890652,23.270428,1,certified value 0 <= 1x uncertainty 0.01 (~0)
P,2025-02-28,12:07:49,2,67,Phosphate,113500.000000,22979.000000,89464.000000,240.000000,559.462522,608.767865,3,113500 ppm > 4x max shale (1615 ppm)
Ca,2025-02-28,12:07:49,2,67,Phosphate,282600.000000,839.000000,291042.000000,549.000000,1215.927377,1334.121578,3,282600 ppm > 4x max shale (59900 ppm)
Ti,2025-02-28,12:07:49,2,67,Phosphate,900.000000,34.000000,522.000000,94.000000,73.212847,119.147475,4,manual: knock-on interference / matrix absorption
Cr,2025-02-28,12:07:49,2,67,Phosphate,49.200000,5.200000,419.000000,17.000000,19.357406,25.762553,4,manual: knock-on interference / matrix absorption
Mn,2025-02-28,12:07:49,2,67,Phosphate,8400.000000,40.000000,8550.000000,50.000000,128.816889,138.180284,3,8400 ppm > 4x max shale (1162 ppm)
Ni,2025-02-28,12:07:49,2,67,Phosphate,32.000000,4.170000,83.000000,4.000000,3.285938,5.176619,4,manual: knock-on interference / matrix absorption
Y,2025-02-28,12:07:49,2,67,Phosphate,631.000000,3.900000,668.000000,3.000000,2.956659,4.212105,3,631 ppm > 4x max shale (36.5 ppm)
Cd,2025-02-28,12:07:49,2,67,Phosphate,0.000000,0.010000,25.000000,5.000000,5.275421,7.268429,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-02-28,12:07:49,2,67,Phosphate,0.000000,0.010000,24.000000,6.000000,4.690416,7.615773,1,certified value 0 <= 1x uncertainty 0.01 (~0)
La,2025-02-28,12:07:49,2,67,Phosphate,495.800000,4.890000,696.000000,31.000000,32.195583,44.694021,3,495.8 ppm > 4x max shale (52.5 ppm)
Ce,2025-02-28,12:07:49,2,67,Phosphate,928.800000,10.190000,1301.000000,39.000000,40.544980,56.257403,3,928.8 ppm > 4x max shale (108 ppm)
Pr,2025-02-28,12:07:49,2,67,Phosphate,96.700000,1.180000,183.000000,50.000000,28.308252,57.457438,3,96.7 ppm > 4x max shale (12.6 ppm)
Nd,2025-02-28,12:07:49,2,67,Phosphate,351.000000,9.940000,677.000000,74.000000,83.283259,111.409610,3,351 ppm > 4x max shale (49.2 ppm)
W,2025-02-28,12:07:49,2,67,Phosphate,0.000000,0.010000,17.000000,3.000000,2.608959,3.975760,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-02-28,12:07:49,2,67,Phosphate,0.000000,0.010000,6.000000,2.000000,1.777601,2.675792,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Th,2025-02-28,12:07:49,2,67,Phosphate,10.700000,0.670000,38.000000,3.000000,3.037349,4.269132,4,manual: knock-on interference / matrix absorption
U,2025-02-28,12:07:49,2,67,Phosphate,30.500000,0.710000,32.000000,2.000000,1.426866,2.456817,4,manual: knock-on interference / matrix absorption
Rb,2025-04-15,09:17:54,1,1,Carbonate-Rich Shale,0.000000,0.010000,77.000000,1.000000,0.847319,1.310705,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Nb,2025-04-15,09:17:54,1,1,Carbonate-Rich Shale,0.000000,0.010000,2.000000,1.000000,0.550482,1.141504,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-04-15,09:20:32,1,2,Marine Shale,3.300000,0.100000,33.000000,5.000000,4.072002,6.448348,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-04-15,09:20:32,1,2,Marine Shale,0.000000,0.010000,6.000000,1.000000,1.292495,1.634179,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Se,2025-04-15,09:23:10,1,3,Black Shale,6.310000,0.870000,4.000000,1.000000,0.509525,1.122326,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-04-15,09:23:10,1,3,Black Shale,0.000000,0.010000,11.000000,1.000000,1.142141,1.518054,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Mg,2025-04-15,09:25:52,1,4,Carbonatite,7540.000000,181.000000,3401.000000,880.000000,715.655280,1134.267376,4,manual: knock-on interference / matrix absorption
P,2025-04-15,09:25:52,1,4,Carbonatite,0.000000,0.010000,4836.000000,36.000000,88.475841,95.519497,1,certified value 0 <= 1x uncertainty 0.01 (~0)
K,2025-04-15,09:25:52,1,4,Carbonatite,1328.000000,166.000000,221.000000,15.000000,63.400690,65.150959,4,manual: knock-on interference / matrix absorption
Ca,2025-04-15,09:25:52,1,4,Carbonatite,345200.000000,2716.000000,349802.000000,652.000000,2302.419916,2392.956637,3,345200 ppm > 4x max shale (59900 ppm)
V,2025-04-15,09:25:52,1,4,Carbonatite,110.000000,6.000000,76.000000,27.000000,6.930208,27.875218,4,manual: knock-on interference / matrix absorption
Cr,2025-04-15,09:25:52,1,4,Carbonatite,5.000000,0.010000,519.000000,17.000000,17.829589,24.635223,4,manual: knock-on interference / matrix absorption
Mn,2025-04-15,09:25:52,1,4,Carbonatite,3330.000000,3330.000000,2318.000000,26.000000,34.453657,43.163115,1,certified value 3330 <= 1x uncertainty 3330 (~0)
Cu,2025-04-15,09:25:52,1,4,Carbonatite,5.000000,0.010000,12.000000,3.000000,2.212088,3.727376,4,manual: knock-on interference / matrix absorption
Zn,2025-04-15,09:25:52,1,4,Carbonatite,87.000000,1.500000,56.000000,2.000000,3.324829,3.880011,4,manual: knock-on interference / matrix absorption
Rb,2025-04-15,09:25:52,1,4,Carbonatite,0.000000,0.010000,16.000000,1.000000,1.245505,1.597273,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sr,2025-04-15,09:25:52,1,4,Carbonatite,12000.000000,50.000000,9236.000000,28.000000,44.512927,52.587077,3,12000 ppm > 4x max shale (420 ppm)
Zr,2025-04-15,09:25:52,1,4,Carbonatite,65.000000,3.000000,96.000000,3.000000,3.367929,4.510316,4,manual: knock-on interference / matrix absorption
Nb,2025-04-15,09:25:52,1,4,Carbonatite,3900.000000,60.000000,2894.000000,9.000000,41.137862,42.110850,3,3900 ppm > 4x max shale (15.3 ppm)
Mo,2025-04-15,09:25:52,1,4,Carbonatite,0.000000,0.010000,13.000000,1.000000,1.844952,2.098534,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Ag,2025-04-15,09:25:52,1,4,Carbonatite,0.000000,0.010000,6.000000,2.000000,0.000000,2.000000,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Ba,2025-04-15,09:25:52,1,4,Carbonatite,1000.000000,50.000000,1205.000000,19.000000,24.373365,30.904060,4,manual: knock-on interference / matrix absorption
La,2025-04-15,09:25:52,1,4,Carbonatite,750.000000,10.000000,1241.000000,33.000000,32.628444,46.407062,3,750 ppm > 4x max shale (52.5 ppm)
Ce,2025-04-15,09:25:52,1,4,Carbonatite,1700.000000,100.000000,2380.000000,42.000000,53.742859,68.207733,3,1700 ppm > 4x max shale (108 ppm)
Pr,2025-04-15,09:25:52,1,4,Carbonatite,150.000000,6.000000,209.000000,51.000000,40.640099,65.212097,3,150 ppm > 4x max shale (12.6 ppm)
Nd,2025-04-15,09:25:52,1,4,Carbonatite,480.000000,15.000000,662.000000,75.000000,92.046741,118.733325,3,480 ppm > 4x max shale (49.2 ppm)
Pb,2025-04-15,09:25:52,1,4,Carbonatite,0.000000,0.010000,9.000000,1.000000,1.242929,1.595265,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Bi,2025-04-15,09:25:52,1,4,Carbonatite,0.000000,0.010000,163.000000,17.000000,15.890652,23.270428,1,certified value 0 <= 1x uncertainty 0.01 (~0)
P,2025-04-15,09:28:43,1,5,Phosphate,113500.000000,22979.000000,89509.000000,245.000000,559.462522,610.756346,3,113500 ppm > 4x max shale (1615 ppm)
Ca,2025-04-15,09:28:43,1,5,Phosphate,282600.000000,839.000000,289988.000000,562.000000,1215.927377,1339.523567,3,282600 ppm > 4x max shale (59900 ppm)
Ti,2025-04-15,09:28:43,1,5,Phosphate,900.000000,34.000000,479.000000,94.000000,73.212847,119.147475,4,manual: knock-on interference / matrix absorption
Cr,2025-04-15,09:28:43,1,5,Phosphate,49.200000,5.200000,389.000000,17.000000,19.357406,25.762553,4,manual: knock-on interference / matrix absorption
Mn,2025-04-15,09:28:43,1,5,Phosphate,8400.000000,40.000000,8736.000000,50.000000,128.816889,138.180284,3,8400 ppm > 4x max shale (1162 ppm)
Ni,2025-04-15,09:28:43,1,5,Phosphate,32.000000,4.170000,79.000000,4.000000,3.285938,5.176619,4,manual: knock-on interference / matrix absorption
Cu,2025-04-15,09:28:43,1,5,Phosphate,23.000000,5.020000,10.000000,3.000000,5.680503,6.424026,4,manual: knock-on interference / matrix absorption
Y,2025-04-15,09:28:43,1,5,Phosphate,631.000000,3.900000,670.000000,3.000000,2.956659,4.212105,3,631 ppm > 4x max shale (36.5 ppm)
Cd,2025-04-15,09:28:43,1,5,Phosphate,0.000000,0.010000,26.000000,5.000000,5.275421,7.268429,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-04-15,09:28:43,1,5,Phosphate,0.000000,0.010000,26.000000,6.000000,4.690416,7.615773,1,certified value 0 <= 1x uncertainty 0.01 (~0)
La,2025-04-15,09:28:43,1,5,Phosphate,495.800000,4.890000,698.000000,31.000000,32.195583,44.694021,3,495.8 ppm > 4x max shale (52.5 ppm)
Ce,2025-04-15,09:28:43,1,5,Phosphate,928.800000,10.190000,1230.000000,39.000000,40.544980,56.257403,3,928.8 ppm > 4x max shale (108 ppm)
Nd,2025-04-15,09:28:43,1,5,Phosphate,351.000000,9.940000,784.000000,74.000000,83.283259,111.409610,3,351 ppm > 4x max shale (49.2 ppm)
W,2025-04-15,09:28:43,1,5,Phosphate,0.000000,0.010000,14.000000,3.000000,2.608959,3.975760,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-04-15,09:28:43,1,5,Phosphate,0.000000,0.010000,6.000000,2.000000,1.777601,2.675792,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Th,2025-04-15,09:28:43,1,5,Phosphate,10.700000,0.670000,37.000000,3.000000,3.037349,4.269132,4,manual: knock-on interference / matrix absorption
U,2025-04-15,09:28:43,1,5,Phosphate,30.500000,0.710000,33.000000,2.000000,1.426866,2.456817,4,manual: knock-on interference / matrix absorption
Rb,2025-04-15,12:48:06,2,94,Carbonate-Rich Shale,0.000000,0.010000,75.000000,1.000000,0.847319,1.310705,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-04-15,12:50:41,2,95,Marine Shale,3.300000,0.100000,22.000000,5.000000,4.072002,6.448348,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Sb,2025-04-15,12:50:41,2,95,Marine Shale,1.010000,0.100000,23.000000,7.000000,0.000000,7.000000,5,element CV 0.81177 >= 0.5 after Rules 1-4 (incoherent array)
Hg,2025-04-15,12:50:41,2,95,Marine Shale,0.000000,0.010000,4.000000,1.000000,1.292495,1.634179,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Se,2025-04-15,12:53:20,2,96,Black Shale,6.310000,0.870000,4.000000,1.000000,0.509525,1.122326,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-04-15,12:53:20,2,96,Black Shale,0.000000,0.010000,9.000000,1.000000,1.142141,1.518054,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Mg,2025-04-15,12:56:11,2,97,Carbonatite,7540.000000,181.000000,2509.000000,853.000000,715.655280,1113.450259,4,manual: knock-on interference / matrix absorption
P,2025-04-15,12:56:11,2,97,Carbonatite,0.000000,0.010000,5137.000000,37.000000,88.475841,95.900857,1,certified value 0 <= 1x uncertainty 0.01 (~0)
K,2025-04-15,12:56:11,2,97,Carbonatite,1328.000000,166.000000,101.000000,15.000000,63.400690,65.150959,4,manual: knock-on interference / matrix absorption
Ca,2025-04-15,12:56:11,2,97,Carbonatite,345200.000000,2716.000000,349958.000000,646.000000,2302.419916,2391.328808,3,345200 ppm > 4x max shale (59900 ppm)
V,2025-04-15,12:56:11,2,97,Carbonatite,110.000000,6.000000,78.000000,26.000000,6.930208,26.907764,4,manual: knock-on interference / matrix absorption
Cr,2025-04-15,12:56:11,2,97,Carbonatite,5.000000,0.010000,521.000000,17.000000,17.829589,24.635223,4,manual: knock-on interference / matrix absorption
Mn,2025-04-15,12:56:11,2,97,Carbonatite,3330.000000,3330.000000,2383.000000,26.000000,34.453657,43.163115,1,certified value 3330 <= 1x uncertainty 3330 (~0)
Cu,2025-04-15,12:56:11,2,97,Carbonatite,5.000000,0.010000,13.000000,3.000000,2.212088,3.727376,4,manual: knock-on interference / matrix absorption
Zn,2025-04-15,12:56:11,2,97,Carbonatite,87.000000,1.500000,59.000000,2.000000,3.324829,3.880011,4,manual: knock-on interference / matrix absorption
Rb,2025-04-15,12:56:11,2,97,Carbonatite,0.000000,0.010000,15.000000,1.000000,1.245505,1.597273,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sr,2025-04-15,12:56:11,2,97,Carbonatite,12000.000000,50.000000,9334.000000,28.000000,44.512927,52.587077,3,12000 ppm > 4x max shale (420 ppm)
Zr,2025-04-15,12:56:11,2,97,Carbonatite,65.000000,3.000000,88.000000,3.000000,3.367929,4.510316,4,manual: knock-on interference / matrix absorption
Nb,2025-04-15,12:56:11,2,97,Carbonatite,3900.000000,60.000000,2746.000000,9.000000,41.137862,42.110850,3,3900 ppm > 4x max shale (15.3 ppm)
Mo,2025-04-15,12:56:11,2,97,Carbonatite,0.000000,0.010000,10.000000,1.000000,1.844952,2.098534,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sb,2025-04-15,12:56:11,2,97,Carbonatite,0.000000,0.010000,25.000000,8.000000,2.828427,8.485281,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Ba,2025-04-15,12:56:11,2,97,Carbonatite,1000.000000,50.000000,1210.000000,19.000000,24.373365,30.904060,4,manual: knock-on interference / matrix absorption
La,2025-04-15,12:56:11,2,97,Carbonatite,750.000000,10.000000,1216.000000,33.000000,32.628444,46.407062,3,750 ppm > 4x max shale (52.5 ppm)
Ce,2025-04-15,12:56:11,2,97,Carbonatite,1700.000000,100.000000,2267.000000,42.000000,53.742859,68.207733,3,1700 ppm > 4x max shale (108 ppm)
Pr,2025-04-15,12:56:11,2,97,Carbonatite,150.000000,6.000000,151.000000,51.000000,40.640099,65.212097,3,150 ppm > 4x max shale (12.6 ppm)
Nd,2025-04-15,12:56:11,2,97,Carbonatite,480.000000,15.000000,649.000000,75.000000,92.046741,118.733325,3,480 ppm > 4x max shale (49.2 ppm)
Pb,2025-04-15,12:56:11,2,97,Carbonatite,0.000000,0.010000,7.000000,1.000000,1.242929,1.595265,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Bi,2025-04-15,12:56:11,2,97,Carbonatite,0.000000,0.010000,140.000000,17.000000,15.890652,23.270428,1,certified value 0 <= 1x uncertainty 0.01 (~0)
P,2025-04-15,12:59:04,2,98,Phosphate,113500.000000,22979.000000,88812.000000,241.000000,559.462522,609.162797,3,113500 ppm > 4x max shale (1615 ppm)
Ca,2025-04-15,12:59:04,2,98,Phosphate,282600.000000,839.000000,289963.000000,554.000000,1215.927377,1336.186883,3,282600 ppm > 4x max shale (59900 ppm)
Ti,2025-04-15,12:59:04,2,98,Phosphate,900.000000,34.000000,603.000000,94.000000,73.212847,119.147475,4,manual: knock-on interference / matrix absorption
Cr,2025-04-15,12:59:04,2,98,Phosphate,49.200000,5.200000,420.000000,17.000000,19.357406,25.762553,4,manual: knock-on interference / matrix absorption
Mn,2025-04-15,12:59:04,2,98,Phosphate,8400.000000,40.000000,8683.000000,50.000000,128.816889,138.180284,3,8400 ppm > 4x max shale (1162 ppm)
Ni,2025-04-15,12:59:04,2,98,Phosphate,32.000000,4.170000,75.000000,4.000000,3.285938,5.176619,4,manual: knock-on interference / matrix absorption
Y,2025-04-15,12:59:04,2,98,Phosphate,631.000000,3.900000,674.000000,3.000000,2.956659,4.212105,3,631 ppm > 4x max shale (36.5 ppm)
Cd,2025-04-15,12:59:04,2,98,Phosphate,0.000000,0.010000,23.000000,5.000000,5.275421,7.268429,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-04-15,12:59:04,2,98,Phosphate,0.000000,0.010000,25.000000,6.000000,4.690416,7.615773,1,certified value 0 <= 1x uncertainty 0.01 (~0)
La,2025-04-15,12:59:04,2,98,Phosphate,495.800000,4.890000,689.000000,31.000000,32.195583,44.694021,3,495.8 ppm > 4x max shale (52.5 ppm)
Ce,2025-04-15,12:59:04,2,98,Phosphate,928.800000,10.190000,1358.000000,39.000000,40.544980,56.257403,3,928.8 ppm > 4x max shale (108 ppm)
Nd,2025-04-15,12:59:04,2,98,Phosphate,351.000000,9.940000,610.000000,74.000000,83.283259,111.409610,3,351 ppm > 4x max shale (49.2 ppm)
W,2025-04-15,12:59:04,2,98,Phosphate,0.000000,0.010000,14.000000,3.000000,2.608959,3.975760,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-04-15,12:59:04,2,98,Phosphate,0.000000,0.010000,9.000000,2.000000,1.777601,2.675792,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Th,2025-04-15,12:59:04,2,98,Phosphate,10.700000,0.670000,39.000000,3.000000,3.037349,4.269132,4,manual: knock-on interference / matrix absorption
U,2025-04-15,12:59:04,2,98,Phosphate,30.500000,0.710000,31.000000,2.000000,1.426866,2.456817,4,manual: knock-on interference / matrix absorption
Rb,2025-04-15,16:57:41,3,183,Carbonate-Rich Shale,0.000000,0.010000,76.000000,1.000000,0.847319,1.310705,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Nb,2025-04-15,16:57:41,3,183,Carbonate-Rich Shale,0.000000,0.010000,3.000000,1.000000,0.550482,1.141504,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Pr,2025-04-15,16:57:41,3,183,Carbonate-Rich Shale,0.000000,0.010000,102.000000,31.000000,12.727922,33.511192,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Sn,2025-04-15,17:00:22,3,184,Marine Shale,3.300000,0.100000,20.000000,5.000000,4.072002,6.448348,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
W,2025-04-15,17:00:22,3,184,Marine Shale,1.600000,0.100000,9.000000,3.000000,0.000000,3.000000,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Hg,2025-04-15,17:00:22,3,184,Marine Shale,0.000000,0.010000,6.000000,1.000000,1.292495,1.634179,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Se,2025-04-15,17:03:22,3,185,Black Shale,6.310000,0.870000,4.000000,1.000000,0.509525,1.122326,5,only 1 standard(s) retained after Rules 1-4 (< MIN_STANDARDS=2)
Ag,2025-04-15,17:03:22,3,185,Black Shale,0.000000,0.010000,5.000000,2.000000,0.000000,2.000000,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Hg,2025-04-15,17:03:22,3,185,Black Shale,0.000000,0.010000,9.000000,1.000000,1.142141,1.518054,1,certified value 0 <= 1x uncertainty 0.01 (~0)
Mg,2025-04-15,17:06:01,3,186,Carbonatite,7540.000000,181.000000,4166.000000,859.000000,715.655280,1118.053433,4,manual: knock-on interference / matrix absorption
